GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,demo.src.main.java.com.example,Main,21,55,1,9,4,11,2,7,1,3
demo,demo.src.main.java.com.example,WeakClass,0,13,0,2,0,5,0,3,0,2
